Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Genes
"Sistotremastrum niveocremeum HHB9708","Eukaryota;Fungi;Basidiomycetes","HHB9708","SAMN02745992","PRJNA196050","GCA_001630475.1","Scaffold",35.3611,49.2,,"LOAV01",230,0,"2016-04-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/630/475/GCA_001630475.1_Sisni1",,0
"Vanilla planifolia","Eukaryota;Plants;Land Plants","Daphna","SAMN10484643","PRJNA507095","GCA_004338375.1","Scaffold",2203.64,24.8,,"SDXO01",794534,0,"2019-03-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/338/375/GCA_004338375.1_Vapla0.1.4",,0
"Magicicada septendecim","Eukaryota;Animals;Insects","J4GVPIW7D5","SAMN08595869","PRJNA435740","GCA_011326945.1","Scaffold",1579.03,35.4,,"JAAAXY01",1182840,0,"2020-03-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/326/945/GCA_011326945.1_ASM1132694v1",,0
"Zootermopsis nevadensis","Eukaryota;Animals;Insects","","SAMN02146280","PRJNA396924","GCA_000696155.1","Scaffold",485.025,38.5997,"mitochondrion MT:NC_024658.1/","AUST01",31663,30187,"2014-05-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/155/GCA_000696155.1_ZooNev1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/155/GCF_000696155.1_ZooNev1.0",14922
"Pseudozyma hubeiensis SY62","Eukaryota;Fungi;Basidiomycetes","SY62","SAMD00002584","PRJDB993","GCA_000403515.1","Scaffold",18.4429,56.5,,"BAOW01",74,7472,"2013-05-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/403/515/GCA_000403515.1_ASM40351v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/515/GCF_000403515.1_ASM40351v1",7618
"Ara macao","Eukaryota;Animals;Birds","","SAMN03000706","PRJNA189648","GCA_000400695.1","Scaffold",1204.7,42.5001,"mitochondrion MT:CM002021.1","AOUJ01",192790,0,"2013-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/695/GCA_000400695.1_SMACv1.1",,0
"Catajapyx aquilonaris","Eukaryota;Animals;Insects","","SAMN02646748","PRJNA203301","GCA_000934665.2","Scaffold",285.626,43,,"JYFJ02",20583,0,"2015-02-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/934/665/GCA_000934665.2_Caqu_2.0",,0
"Limnephilus lunatus","Eukaryota;Animals;Insects","LLUN.00-Female","SAMN02211182","PRJNA203303","GCA_000648945.2","Scaffold",1369.18,35.4,,"JDSM02",58718,0,"2014-04-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/945/GCA_000648945.2_Llun_2.0",,0
"Angomonas desouzai","Eukaryota;Protists;Kinetoplasts","TCC079E","SAMN02953865","PRJNA203515","GCA_000482185.1","Contig",24.2509,49.2,,"AUXL01",7953,0,"2013-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/482/185/GCA_000482185.1_Ades_1.0",,0
"Paecilomyces hepiali","Eukaryota;Fungi;Ascomycetes","FENG","SAMN04253750","PRJNA301665","GCA_001455915.2","Scaffold",34.682,53.9,,"LNDK02",129,0,"2015-12-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/455/915/GCA_001455915.2_ASM145591v2",,0
"Monascus purpureus","Eukaryota;Fungi;Ascomycetes","YY-1","SAMN08978766","PRJNA453427","GCA_003184285.1"," Chromosome",24.1474,49.1808,"chromosome I:CM009898.1; chromosome II:CM009899.1; chromosome III:CM009900.1; chromosome IV:CM009901.1; chromosome V:CM009902.1; chromosome VI:CM009903.1; chromosome VII:CM009904.1; chromosome VIII:CM009905.1","QDGY01",33,0,"2018-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/285/GCA_003184285.1_ASM318428v1",,0
"Choiromyces venosus 120613-1","Eukaryota;Fungi;Ascomycetes","120613-1","SAMN02745028","PRJNA204096","GCA_003788595.2","Scaffold",126.035,43.7,,"PZQU01",1176,0,"2018-11-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/788/595/GCA_003788595.2_Chove1",,0
"Steinernema feltiae","Eukaryota;Animals;Roundworms","NW","SAMN06017646","PRJNA353610","GCA_007213375.1","Contig",121.603,46.5,,"MQUG01",4678,0,"2019-07-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/213/375/GCA_007213375.1_S_feltiae_NW_1.0",,0
"Steinernema scapterisci","Eukaryota;Animals;Roundworms","FL","SAMN03067855","PRJNA204942","GCA_000757745.1","Scaffold",79.6513,47.9,,"AZBW01",2864,0,"2014-09-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/745/GCA_000757745.1_S_scapt_v1",,0
"Steinernema glaseri","Eukaryota;Animals;Roundworms","NC","SAMN03067856","PRJNA204943","GCA_000757755.1","Scaffold",92.8363,47.2,,"AZBX01",7510,0,"2014-09-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/755/GCA_000757755.1_S_glas_v1",,0
"Steinernema monticolum","Eukaryota;Animals;Roundworms","","SAMN02953877","PRJNA205067","GCA_000505645.1","Scaffold",89.159,41.8,,"AZHV01",14252,0,"2013-12-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/505/645/GCA_000505645.1_S_monti_v1",,0
"Arabis alpina","Eukaryota;Plants;Land Plants","","SAMEA4527704","PRJEB16743","GCA_900128785.1"," Chromosome",311.642,37.401,"chromosome 1:LT669788.1; chromosome 2:LT669789.1; chromosome 3:LT669790.1; chromosome 4:LT669791.1; chromosome 5:LT669792.1; chromosome 6:LT669793.1; chromosome 7:LT669794.1; chromosome 8:LT669795.1",,8,0,"2016-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/785/GCA_900128785.1_MPIPZ.v5",,0
"Aphis gossypii","Eukaryota;Animals;Insects","AGOS-L3","SAMN08384359","PRJNA520932","GCA_004010815.1","Scaffold",294.279,28.4993,"mitochondrion MT:NC_024581.1/","PPXK01",4718,18497,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/010/815/GCA_004010815.1_ASM401081v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/010/815/GCF_004010815.1_ASM401081v1",14118
"Botryllus schlosseri","Eukaryota;Animals;Other Animals","356a","SAMN02179234","PRJNA205369","GCA_000444245.1","Scaffold",579.633,40.6,,"ATSW01",120139,0,"2013-07-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/245/GCA_000444245.1_356a-chromosome-assembly",,0
"Trametes sanguinea","Eukaryota;Fungi;Basidiomycetes","ACCC51180","SAMN12781426","PRJNA574200","GCA_008973685.1","Contig",36.5816,56.5,,"WAHA01",59,0,"2019-10-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/973/685/GCA_008973685.1_ASM897368v1",,0
"Diabrotica virgifera virgifera","Eukaryota;Animals;Insects","Ped12-6-A-3","SAMN08631342","PRJNA432972","GCA_003013835.2","Scaffold",2418.07,36.5,,"PXJM02",87712,28061,"2018-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/013/835/GCA_003013835.2_Dvir_v2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/013/835/GCF_003013835.1_Dvir_v2.0",24367
"Python bivittatus","Eukaryota;Animals;Reptiles","","SAMN02981298","PRJNA61243","GCA_000186305.2","Scaffold",1435.05,39.7,"mitochondrion MT:NC_021479.1/","AEQU02",39113,32724,"2013-09-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/305/GCA_000186305.2_Python_molurus_bivittatus-5.0.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/305/GCF_000186305.1_Python_molurus_bivittatus-5.0.2",21877
"Sporormia fimetaria CBS 119925","Eukaryota;Fungi;Ascomycetes","CBS 119925","SAMN02745851","PRJNA205956","GCA_010093795.1","Scaffold",25.8922,53.7,,"JAAEJR01",140,0,"2020-01-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/093/795/GCA_010093795.1_Spofi1",,0
"Pseudoloma neurophilia","Eukaryota;Fungi;Other Fungi","MK1","SAMN02213404","PRJNA206217","GCA_001432165.1","Contig",5.24841,29.6,,"LGUB01",1603,3644,"2015-11-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/432/165/GCA_001432165.1_ASM143216v1",,3645
"Leishmania guyanensis","Eukaryota;Protists;Kinetoplasts","","SAMEA5854544","PRJEB33887","GCA_902369315.1","Complete",0.019624,20.5,"chromosome 1:LR697135.1",,1,0,"2019-10-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/369/315/GCA_902369315.1_Lgu",,0
"Rhizopus delemar RA 99-880","Eukaryota;Fungi;Other Fungi","RA 99-880","SAMN02953598","PRJNA13066","GCA_000149305.1","Scaffold",46.1489,35.8,,"AACW02",83,0,"2005-03-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/305/GCA_000149305.1_RO3",,0
"Ophiostoma piceae UAMH 11346","Eukaryota;Fungi;Ascomycetes","UAMH 11346","SAMN02179239","PRJNA182071","GCA_000410735.1","Scaffold",32.8404,53.3,,"AQHS01",45,0,"2013-06-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/410/735/GCA_000410735.1_Opiceae_UAMHv01",,0
"Cryptosporidium meleagridis","Eukaryota;Protists;Apicomplexans","UKMEL1","SAMN02666797","PRJNA222838","GCA_001593445.1","Contig",8.9732,31,,"JIBK01",57,3753,"2016-03-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/445/GCA_001593445.1_CryMelUKMEL1-1.0",,3806
"Eimeria necatrix","Eukaryota;Protists;Apicomplexans","Houghton","SAMEA3138811","PRJEB4833","GCA_000499385.1","Scaffold",55.0079,51,,"CBUZ01",3707,8609,"2013-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/385/GCA_000499385.1_ENH001","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/385/GCF_000499385.1_ENH001",8584
"Eimeria brunetti","Eukaryota;Protists;Apicomplexans","Houghton","SAMEA3138828","PRJEB4834","GCA_000499725.1","Scaffold",66.8902,47.7,,"CBUX01",8575,0,"2013-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/725/GCA_000499725.1_EBH001",,0
"Eimeria mitis","Eukaryota;Protists;Apicomplexans","Houghton","SAMEA3138829","PRJEB4835","GCA_000499745.1","Scaffold",60.4151,46.5,,"CBUT01",10336,8748,"2013-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/745/GCA_000499745.1_EMH001","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/745/GCF_000499745.1_EMH001",8748
"Eimeria praecox","Eukaryota;Protists;Apicomplexans","Houghton","SAMEA3138814","PRJEB4836","GCA_000499445.1","Scaffold",60.0833,45.4,,"CBUU01",21348,0,"2013-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/445/GCA_000499445.1_EPH001",,0
"Spathaspora arborariae UFMG-19.1A","Eukaryota;Fungi;Ascomycetes","UFMG-19.1A","SAMN02981567","PRJNA207280","GCA_000497715.1","Scaffold",12.8706,31.9,,"AYLH01",41,0,"2013-11-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/715/GCA_000497715.1_SpaArb1.0",,0
"Sphaerobolus stellatus SS14","Eukaryota;Fungi;Basidiomycetes","SS14","SAMN00794633","PRJNA207858","GCA_000827215.1","Scaffold",176.372,45.9,,"JOMA01",1460,0,"2015-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/215/GCA_000827215.1_Sphst1",,0
"Scleroderma citrinum Foug A","Eukaryota;Fungi;Basidiomycetes","Foug A","SAMN02746100","PRJNA207859","GCA_000827425.1","Scaffold",56.1449,48.6,,"JMDU01",938,0,"2015-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/425/GCA_000827425.1_Scleroderma_citrinum_Foug_A_v1.0",,0
"Phlebiopsis gigantea 11061_1 CR5-6","Eukaryota;Fungi;Basidiomycetes","11061_1 CR5-6","SAMN02746081","PRJNA207860","GCA_000832265.1","Scaffold",30.1439,54.7,,"AZAG01",573,0,"2015-02-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/832/265/GCA_000832265.1_Phlgi1",,0
"Neurospora discreta FGSC 8579","Eukaryota;Fungi;Ascomycetes","FGSC 8579 matA","SAMN02746083","PRJNA487060","GCA_009805215.1","Scaffold",37.2879,49.4,,"RANX01",150,0,"2019-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/805/215/GCA_009805215.1_ASM980521v1",,0
"Ziphius cavirostris","Eukaryota;Animals;Mammals","BS68","SAMN07678128","PRJNA399469","GCA_004364475.1","Scaffold",3150.42,42,,"RJWS01",3758276,0,"2019-03-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/364/475/GCA_004364475.1_ZipCav_v1_BIUU",,0
"Protobothrops mucrosquamatus","Eukaryota;Animals;Reptiles","PMUCROS","SAMD00043515","PRJDB4386","GCA_001527695.3","Scaffold",1673.88,40.7,"mitochondrion MT:NC_021412.1/","BCNE02",52280,22430,"2016-01-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/527/695/GCA_001527695.3_P.Mucros_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/527/695/GCF_001527695.2_P.Mucros_1.0",21130
"Jaapia argillacea MUCL 33604","Eukaryota;Fungi;Basidiomycetes","MUCL 33604","SAMN00771373","PRJNA207685","GCA_000697665.1","Scaffold",45.0459,49.7,,"AYUL01",295,0,"2014-06-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/665/GCA_000697665.1_Jaaar1",,0
"Aspergillus versicolor CBS 583.65","Eukaryota;Fungi;Ascomycetes","CBS 583.65","SAMN02744095","PRJNA207687","GCA_001890125.1","Scaffold",33.1268,50.1,,"MRBN01",51,0,"2016-12-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/125/GCA_001890125.1_Aspve1",,0
"Penicilliopsis zonata CBS 506.65","Eukaryota;Fungi;Ascomycetes","CBS 506.65","SAMN02194405","PRJNA207688","GCA_001890105.1","Scaffold",26.0882,49.9,,"MRBM01",246,9870,"2016-12-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/105/GCA_001890105.1_Aspzo1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/105/GCF_001890105.1_Aspzo1",10027
"Aspergillus sydowii CBS 593.65","Eukaryota;Fungi;Ascomycetes","CBS 593.65","SAMN02744090","PRJNA207689","GCA_001890705.1","Scaffold",34.381,50,,"MRCH01",97,0,"2016-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/705/GCA_001890705.1_Aspsy1",,0
"Aspergillus tubingensis","Eukaryota;Fungi;Ascomycetes","C2-2","SAMN13702266","PRJNA598247","GCA_010614855.1","Contig",35.3366,49.1,,"JAAFZZ01",10,0,"2020-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/614/855/GCA_010614855.1_ASM1061485v1",,0
"Aspergillus brasiliensis CBS 101740","Eukaryota;Fungi;Ascomycetes","CBS 101740","SAMN00203938","PRJNA207691","GCA_001889945.1","Scaffold",35.8041,50.4,,"LJXV01",103,0,"2016-12-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/945/GCA_001889945.1_Aspbr1",,0
"Pisolithus tinctorius Marx 270","Eukaryota;Fungi;Basidiomycetes","Marx 270","SAMN00769597","PRJNA207840","GCA_000827335.1","Scaffold",71.0075,48.9,,"JMDO01",610,0,"2015-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/335/GCA_000827335.1_Pisolithus_tinctorius_Marx_270_v1.0",,0
"Rhizopogon salebrosus","Eukaryota;Fungi;Basidiomycetes","AM-AZ12-036","SAMN08611230","PRJNA436024","GCA_002995475.1","Scaffold",39.5211,0,,"PVYR01",18008,0,"2018-03-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/995/475/GCA_002995475.1_AZ12-036_RhiSal_1.0",,0
"Serendipita vermifera MAFF 305830","Eukaryota;Fungi;Basidiomycetes","MAFF 305830","SAMN00794400","PRJNA207844","GCA_000827415.1","Scaffold",38.0942,48.9,,"JMDS01",546,0,"2015-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/415/GCA_000827415.1_Sebacina_vermifera_MAFF_305830_v1.0",,0
"Zasmidium cellare ATCC 36951","Eukaryota;Fungi;Ascomycetes","ATCC 36951","SAMN00809353","PRJNA207845","GCA_010093935.1","Scaffold",38.2477,53.3,,"JAAEIS01",267,0,"2020-01-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/093/935/GCA_010093935.1_Zasce1",,0
"Plicaturopsis crispa FD-325 SS-3","Eukaryota;Fungi;Basidiomycetes","FD-325 SS-3","SAMN02744101","PRJNA207847","GCA_000827205.1","Scaffold",34.4981,53.5,,"JOMB01",316,0,"2015-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/205/GCA_000827205.1_Plicr1",,0
"Hebeloma cylindrosporum h7","Eukaryota;Fungi;Basidiomycetes","h7","SAMN00114963","PRJNA207849","GCA_000827355.1","Scaffold",38.226,48.4,,"JMDQ01",176,0,"2015-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/355/GCA_000827355.1_Hebeloma_cylindrosporum_h7_v2.0",,0
"Hyphopichia burtonii NRRL Y-1933","Eukaryota;Fungi;Ascomycetes","NRRL Y-1933","SAMN00794652","PRJNA207851","GCA_001661395.1","Scaffold",12.4031,35,,"LYBQ01",27,5996,"2016-06-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/395/GCA_001661395.1_Hypbu1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/395/GCF_001661395.1_Hypbu1",6166
"Babjeviella inositovora NRRL Y-12698","Eukaryota;Fungi;Ascomycetes","NRRL Y-12698","SAMN00794393","PRJNA207852","GCA_001661335.1","Scaffold",15.221,48.1,,"LWKO01",49,6398,"2016-06-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/335/GCA_001661335.1_Babin1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/335/GCF_001661335.1_Babin1",6795
"Nadsonia fulvescens var. elongata DSM 6958","Eukaryota;Fungi;Ascomycetes","DSM 6958","SAMN02744094","PRJNA207853","GCA_001661315.1","Scaffold",13.7469,39.3,,"LXPB01",20,0,"2016-06-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/315/GCA_001661315.1_Nadfu1",,0
"Acidomyces richmondensis","Eukaryota;Fungi;Ascomycetes","FRIK2901","SAMN09844044","PRJNA486357","GCA_003545705.1","Contig",29.3472,49.5,,"QVLQ01",34,0,"2018-09-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/545/705/GCA_003545705.1_ASM354570v1",,0
"Hydnomerulius pinastri MD-312","Eukaryota;Fungi;Basidiomycetes","MD-312","SAMN02746004","PRJNA207871","GCA_000827185.1","Scaffold",38.2788,50.6,,"JMSK01",603,0,"2015-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/185/GCA_000827185.1_Hydpi2",,0
"Suillus luteus UH-Slu-Lm8-n1","Eukaryota;Fungi;Basidiomycetes","UH-Slu-Lm8-n1","SAMN00794629","PRJNA242126","GCA_000827255.1","Scaffold",37.0143,48,,"JMSM01",1944,0,"2015-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/255/GCA_000827255.1_Suilu1",,0
"Trichoderma longibrachiatum ATCC 18648","Eukaryota;Fungi;Ascomycetes","ATCC 18648","SAMN00767620","PRJNA207876","GCA_003025155.1","Scaffold",32.2383,52.8,,"MBDJ01",130,0,"2018-03-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/025/155/GCA_003025155.1_Trilo3",,0
"Trichoderma asperellum CBS 433.97","Eukaryota;Fungi;Ascomycetes","CBS 433.97","SAMN00769595","PRJNA207877","GCA_003025105.1","Scaffold",37.4646,47.3,,"MBGH01",419,12557,"2018-03-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/025/105/GCA_003025105.1_Trias_v._1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/025/105/GCF_003025105.1_Trias_v._1.0",12801
"Pygoscelis antarcticus","Eukaryota;Animals;Birds","CP TH 060","SAMN12384868","PRJNA556735","GCA_010078415.1","Scaffold",1260.45,41,,"VUKZ01",16691,14226,"2020-01-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/078/415/GCA_010078415.1_BGI_Pant.V1",,15121
"Sitodiplosis mosellana","Eukaryota;Animals;Insects","CC-2019","SAMN12686733","PRJNA563698","GCA_009176505.1","Scaffold",208.8,34,,"VUAH01",7269,0,"2019-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/176/505/GCA_009176505.1_AAFC_SMos_1.0",,0
"Gonapodya prolifera JEL478","Eukaryota;Fungi;Other Fungi","JEL478","SAMN02746072","PRJNA207863","GCA_001574975.1","Scaffold",48.7948,52.3,,"LSZK01",352,0,"2016-02-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/574/975/GCA_001574975.1_Ganpr1",,0
"Ascoidea rubescens DSM 1968","Eukaryota;Fungi;Ascomycetes","DSM 1968","SAMN02746076","PRJNA207865","GCA_001661345.1","Scaffold",17.504,32.9,,"LYBR01",63,6787,"2016-06-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/345/GCA_001661345.1_Ascru1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/345/GCF_001661345.1_Ascru1",6962
"Suhomyces tanzawaensis NRRL Y-17324","Eukaryota;Fungi;Ascomycetes","NRRL Y-17324","SAMN00794653","PRJNA207878","GCA_001661415.1","Scaffold",13.1362,45.3,,"LYME01",16,5885,"2016-06-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/415/GCA_001661415.1_Canta1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/415/GCF_001661415.1_Canta1",6143
"[Candida] arabinofermentans NRRL YB-2248","Eukaryota;Fungi;Ascomycetes","NRRL YB-2248","SAMN00794644","PRJNA207879","GCA_001661425.1","Scaffold",13.2339,34.9,,"LWUO01",62,0,"2016-06-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/425/GCA_001661425.1_Canar1",,0
"Corvus cornix cornix","Eukaryota;Animals;Birds","S_Up_H32","SAMN02143031","PRJNA358092","GCA_002023255.2","Scaffold",1050.11,41.8,,"MVNZ02",145,0,"2017-03-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/023/255/GCA_002023255.2_ASM202325v2",,0
"Rhizomys pruinosus","Eukaryota;Animals;Mammals","BR201808","SAMN12815341","PRJNA573514","GCA_009823505.1","Scaffold",3711.97,40.1,,"VZQC01",15764,0,"2019-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/823/505/GCA_009823505.1_RhiPru_1.0",,0
"Rhizophagus irregularis DAOM 181602=DAOM 197198","Eukaryota;Fungi;Other Fungi","DAOM 197198","SAMN02744054","PRJNA208392","GCA_000439145.3","Scaffold",136.726,28.7,,"AUPC02",1111,26147,"2013-07-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/145/GCA_000439145.3_ASM43914v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/145/GCF_000439145.1_ASM43914v3",26245
"Benincasa hispida","Eukaryota;Plants;Land Plants","","SAMN08364809","PRJNA430006","GCA_009727055.1"," Chromosome",912.951,34.9866,"chromosome 1:CM019126.1; chromosome 2:CM019127.1; chromosome 3:CM019128.1; chromosome 4:CM019129.1; chromosome 5:CM019130.1; chromosome 6:CM019131.1; chromosome 7:CM019132.1; chromosome 8:CM019133.1; chromosome 9:CM019134.1; chromosome 10:CM019135.1; chromosome 11:CM019136.1; chromosome 12:CM019137.1","WEIL01",1791,0,"2019-12-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/727/055/GCA_009727055.1_ASM972705v1",,0
"Patellaria atrata CBS 101060","Eukaryota;Fungi;Ascomycetes","CBS 101060","SAMN02745730","PRJNA208393","GCA_010093705.1","Scaffold",28.6933,46.2,,"JAAEJL01",127,0,"2020-01-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/093/705/GCA_010093705.1_Patat1",,0
"Arctocephalus gazella","Eukaryota;Animals;Mammals","","SAMEA4666125","PRJEB30577","GCA_900642305.1","Scaffold",2313.59,41,,"CAAAJK01",5180,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/642/305/GCA_900642305.1_arcGaz3",,0
"Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993","Eukaryota;Fungi;Ascomycetes","NRRL YB-4993","SAMN00773783","PRJNA207846","GCA_001664035.1","Scaffold",16.0552,47.9,,"LXTC01",48,5838,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/035/GCA_001664035.1_Metbi1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/035/GCF_001664035.1_Metbi1",6090
"Hepatospora eriocheir","Eukaryota;Fungi;Other Fungi","GB1","SAMN04550297","PRJNA208659","GCA_002087885.1","Scaffold",4.57028,22.4,,"LVKB01",1300,2691,"2017-04-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/087/885/GCA_002087885.1_ASM208788v1",,2716
